op_type,musa_time_us,cuda_time_us,time_us_diff_musa_minus_cuda,musa_count,cuda_count,count_diff_musa_minus_cuda
AddN,55105.0,513.0,54592.0,54,54,0
SplitV,21105.0,4062.0,17043.0,3,3,0
StridedSlice,13398.0,1782.0,11616.0,167,167,0
Prod,7488.0,1473.0,6015.0,138,138,0
Mean,6172.0,1136.0,5036.0,75,75,0
RealDiv,5352.0,1530.0,3822.0,203,204,-1
Pow,4555.0,1282.0,3273.0,193,195,-2
ConcatV2,8133.0,5328.0,2805.0,164,164,0
Select,3528.0,871.0,2657.0,85,85,0
Relu,2963.0,775.0,2188.0,120,123,-3
Mul,3350.0,1188.0,2162.0,145,145,0
Pack,2573.0,448.0,2125.0,117,117,0
AddV2,3124.0,1030.0,2094.0,131,131,0
Sub,2672.0,879.0,1793.0,132,132,0
Add,2600.0,909.0,1691.0,116,118,-2
ExpandDims,1615.0,65.0,1550.0,34,36,-2
Reshape,2302.0,1001.0,1301.0,483,482,1
Fill,2168.0,895.0,1273.0,57,57,0
Maximum,1729.0,470.0,1259.0,38,38,0
LogicalAnd,1404.0,207.0,1197.0,13,13,0
Unpack,1404.0,222.0,1182.0,49,49,0
Equal,1698.0,619.0,1079.0,29,29,0
SquaredDifference,1223.0,330.0,893.0,33,33,0
Const,1181.0,290.0,891.0,189,189,0
BatchMatMulV2,1418.0,566.0,852.0,32,32,0
LogicalOr,1146.0,298.0,848.0,14,14,0
MatMul,7848.0,7007.0,841.0,294,299,-5
Sum,1279.0,609.0,670.0,38,38,0
Rsqrt,812.0,233.0,579.0,37,37,0
Transpose,765.0,194.0,571.0,18,18,0
Cast,1069.0,555.0,514.0,47,47,0
Minimum,888.0,375.0,513.0,37,37,0
Tanh,658.0,156.0,502.0,19,19,0
NotEqual,1016.0,577.0,439.0,32,32,0
LogicalNot,332.0,29.0,303.0,2,2,0
Exp,336.0,65.0,271.0,13,13,0
IsNan,352.0,90.0,262.0,15,15,0
Log,402.0,225.0,177.0,28,28,0
Sigmoid,235.0,114.0,121.0,15,15,0
RandomUniform,128.0,36.0,92.0,5,5,0
Less,131.0,40.0,91.0,5,5,0
Tile,258.0,183.0,75.0,28,28,0
ZerosLike,156.0,82.0,74.0,7,7,0
Split,81.0,33.0,48.0,3,3,0
DiagPart,33.0,9.0,24.0,1,1,0
Square,25.0,18.0,7.0,2,2,0
Sign,225.0,223.0,2.0,9,9,0
Identity,1.0,2.0,-1.0,1,1,0
Greater,105.0,111.0,-6.0,4,4,0
Softmax,102.0,108.0,-6.0,5,5,0
Neg,58.0,68.0,-10.0,8,8,0
Sqrt,19.0,42.0,-23.0,2,2,0
Squeeze,59.0,191.0,-132.0,53,53,0
Shape,331.0,471.0,-140.0,134,134,0
Slice,241.0,429.0,-188.0,16,16,0
GatherV2,269.0,554.0,-285.0,21,21,0
__TOTAL__,177620.0,40998.0,136622.0,3713,3727,-14
