op_type,device,count,time_us,time_ms,avg_us_per_call
Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1544,334641.0,334.641,216.73639896373058
AddN,/job:localhost/replica:0/task:0/device:MUSA:0,7,95331.0,95.331,13618.714285714286
BitwiseAnd,/job:localhost/replica:0/task:0/device:MUSA:0,3,27326.0,27.326,9108.666666666666
Pack,/job:localhost/replica:0/task:0/device:MUSA:0,156,10815.0,10.815,69.32692307692308
Fill,/job:localhost/replica:0/task:0/device:MUSA:0,35,7706.0,7.706,220.17142857142858
MatMul,/job:localhost/replica:0/task:0/device:MUSA:0,164,6576.0,6.576,40.09756097560975
Select,/job:localhost/replica:0/task:0/device:MUSA:0,35,5906.0,5.906,168.74285714285713
Less,/job:localhost/replica:0/task:0/device:MUSA:0,20,5315.0,5.315,265.75
Prod,/job:localhost/replica:0/task:0/device:MUSA:0,62,5198.0,5.198,83.83870967741936
RealDiv,/job:localhost/replica:0/task:0/device:MUSA:0,139,5039.0,5.039,36.25179856115108
ConcatV2,/job:localhost/replica:0/task:0/device:MUSA:0,59,4146.0,4.146,70.27118644067797
RandomUniform,/job:localhost/replica:0/task:0/device:MUSA:0,18,4134.0,4.134,229.66666666666666
Reshape,/job:localhost/replica:0/task:0/device:MUSA:0,405,3973.0,3.973,9.809876543209876
Pow,/job:localhost/replica:0/task:0/device:MUSA:0,113,3767.0,3.767,33.336283185840706
Unpack,/job:localhost/replica:0/task:0/device:MUSA:0,102,3626.0,3.626,35.549019607843135
Sub,/job:localhost/replica:0/task:0/device:MUSA:0,106,3477.0,3.477,32.801886792452834
Sum,/job:localhost/replica:0/task:0/device:MUSA:0,15,3401.0,3.401,226.73333333333332
SquaredDifference,/job:localhost/replica:0/task:0/device:MUSA:0,17,3295.0,3.295,193.8235294117647
Mean,/job:localhost/replica:0/task:0/device:MUSA:0,17,2276.0,2.276,133.88235294117646
StridedSlice,/job:localhost/replica:0/task:0/device:MUSA:0,21,2110.0,2.11,100.47619047619048
Add,/job:localhost/replica:0/task:0/device:MUSA:0,52,1697.0,1.697,32.63461538461539
Const,/job:localhost/replica:0/task:0/device:MUSA:0,158,1665.0,1.665,10.537974683544304
ZerosLike,/job:localhost/replica:0/task:0/device:MUSA:0,18,1357.0,1.357,75.38888888888889
AddV2,/job:localhost/replica:0/task:0/device:MUSA:0,58,933.0,0.933,16.086206896551722
Mul,/job:localhost/replica:0/task:0/device:MUSA:0,52,759.0,0.759,14.596153846153847
Minimum,/job:localhost/replica:0/task:0/device:MUSA:0,9,612.0,0.612,68.0
Split,/job:localhost/replica:0/task:0/device:MUSA:0,12,557.0,0.557,46.416666666666664
Equal,/job:localhost/replica:0/task:0/device:MUSA:0,12,477.0,0.477,39.75
Shape,/job:localhost/replica:0/task:0/device:MUSA:0,137,393.0,0.393,2.8686131386861313
Placeholder,/job:localhost/replica:0/task:0/device:CPU:0,967,392.0,0.392,0.40537745604963804
Cast,/job:localhost/replica:0/task:0/device:MUSA:0,11,348.0,0.348,31.636363636363637
Relu,/job:localhost/replica:0/task:0/device:MUSA:0,33,329.0,0.329,9.969696969696969
SplitV,/job:localhost/replica:0/task:0/device:MUSA:0,14,290.0,0.29,20.714285714285715
Sigmoid,/job:localhost/replica:0/task:0/device:MUSA:0,21,272.0,0.272,12.952380952380953
Rsqrt,/job:localhost/replica:0/task:0/device:MUSA:0,18,207.0,0.207,11.5
Log,/job:localhost/replica:0/task:0/device:MUSA:0,19,203.0,0.203,10.68421052631579
Maximum,/job:localhost/replica:0/task:0/device:MUSA:0,9,176.0,0.176,19.555555555555557
Tile,/job:localhost/replica:0/task:0/device:MUSA:0,12,164.0,0.164,13.666666666666666
