op_type,device,count,time_us,time_ms,avg_us_per_call
BatchMatMulV2,/job:localhost/replica:0/task:0/device:MUSA:0,6,147.0,0.147,24.5
Greater,/job:localhost/replica:0/task:0/device:MUSA:0,5,135.0,0.135,27.0
ExpandDims,/job:localhost/replica:0/task:0/device:MUSA:0,2,106.0,0.106,53.0
Tanh,/job:localhost/replica:0/task:0/device:MUSA:0,9,105.0,0.105,11.666666666666666
Transpose,/job:localhost/replica:0/task:0/device:MUSA:0,8,89.0,0.089,11.125
Sqrt,/job:localhost/replica:0/task:0/device:MUSA:0,5,75.0,0.075,15.0
Einsum,/job:localhost/replica:0/task:0/device:MUSA:0,2,72.0,0.072,36.0
Conv2D,/job:localhost/replica:0/task:0/device:MUSA:0,4,65.0,0.065,16.25
Neg,/job:localhost/replica:0/task:0/device:MUSA:0,8,60.0,0.06,7.5
Max,/job:localhost/replica:0/task:0/device:MUSA:0,2,55.0,0.055,27.5
Exp,/job:localhost/replica:0/task:0/device:MUSA:0,5,50.0,0.05,10.0
Softmax,/job:localhost/replica:0/task:0/device:MUSA:0,2,40.0,0.04,20.0
Round,/job:localhost/replica:0/task:0/device:MUSA:0,1,35.0,0.035,35.0
Log1p,/job:localhost/replica:0/task:0/device:MUSA:0,4,25.0,0.025,6.25
Switch,/job:localhost/replica:0/task:0/device:MUSA:0,27,20.0,0.02,0.7407407407407407
GreaterEqual,/job:localhost/replica:0/task:0/device:MUSA:0,2,18.0,0.018,9.0
Pad,/job:localhost/replica:0/task:0/device:MUSA:0,1,17.0,0.017,17.0
Equal,/job:localhost/replica:0/task:0/device:CPU:0,2,16.0,0.016,8.0
Abs,/job:localhost/replica:0/task:0/device:MUSA:0,1,10.0,0.01,10.0
Softplus,/job:localhost/replica:0/task:0/device:MUSA:0,1,7.0,0.007,7.0
Squeeze,/job:localhost/replica:0/task:0/device:MUSA:0,4,4.0,0.004,1.0
Switch,/job:localhost/replica:0/task:0/device:CPU:0,9,4.0,0.004,0.4444444444444444
Reshape,/job:localhost/replica:0/task:0/device:CPU:0,1,4.0,0.004,4.0
Const,/job:localhost/replica:0/task:0/device:CPU:0,2,2.0,0.002,1.0
Select,/job:localhost/replica:0/task:0/device:CPU:0,2,2.0,0.002,1.0
Neg,/job:localhost/replica:0/task:0/device:CPU:0,1,1.0,0.001,1.0
Rsqrt,/job:localhost/replica:0/task:0/device:CPU:0,1,1.0,0.001,1.0
Sub,/job:localhost/replica:0/task:0/device:CPU:0,1,1.0,0.001,1.0
Unknown,/job:localhost/replica:0/task:0/device:MUSA:0,1,0.0,0.0,0.0
Unknown,/job:localhost/replica:0/task:0/device:CPU:0,1,0.0,0.0,0.0
