node_name,op_type,device,time_us,time_ms
1f0Wnr96M4,AddN,/job:localhost/replica:0/task:0/device:MUSA:0,18668.0,18.668
OrtjVLMQSq,AddN,/job:localhost/replica:0/task:0/device:MUSA:0,18031.0,18.031
5gLPWskr0B,AddN,/job:localhost/replica:0/task:0/device:MUSA:0,15404.0,15.404
YprJVeS1bA,AddN,/job:localhost/replica:0/task:0/device:MUSA:0,14524.0,14.524
f1gHrP3EuN,AddN,/job:localhost/replica:0/task:0/device:MUSA:0,14380.0,14.38
aIkneiCD2o,AddN,/job:localhost/replica:0/task:0/device:MUSA:0,14318.0,14.318
vfwkMpxJd8,BitwiseAnd,/job:localhost/replica:0/task:0/device:MUSA:0,14307.0,14.307
GebSXHDvI0,BitwiseAnd,/job:localhost/replica:0/task:0/device:MUSA:0,6685.0,6.685
nAMVak4Kmo,BitwiseAnd,/job:localhost/replica:0/task:0/device:MUSA:0,6334.0,6.334
ktJP4SE57Y,Pack,/job:localhost/replica:0/task:0/device:MUSA:0,5649.0,5.649
VMDTbB36dU,Pack,/job:localhost/replica:0/task:0/device:MUSA:0,2286.0,2.286
AELpXGoDSB,ConcatV2,/job:localhost/replica:0/task:0/device:MUSA:0,1385.0,1.385
2zdWp1oSRm,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1222.0,1.222
xN15caHRnO,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1221.0,1.221
26XUyjZts9,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1219.0,1.219
IUR3Tvyxd2,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1216.0,1.216
ZQWEtI975n,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1215.0,1.215
VvcUJwT6Wg,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1214.0,1.214
rCKDeVfxlH,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1212.0,1.212
B1SItK45Ne,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1208.0,1.208
pk1Ete9sPZ,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1207.0,1.207
FEuT6RNJaZ,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1206.0,1.206
F27c13pdaN,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1199.0,1.199
WMOZugcr7f,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1198.0,1.198
3FN1By9ZO8,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1197.0,1.197
X2VrcfbxFa,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1197.0,1.197
CeEUV1PT8W,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1197.0,1.197
VQR321UWnE,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1194.0,1.194
EQuqRGUcBM,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1192.0,1.192
1aAnZ8WwX0,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1191.0,1.191
OVoczkCAR0,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1190.0,1.19
b9u0qK2MmE,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1186.0,1.186
Q3pZPeovsT,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1184.0,1.184
D4Wo5CPATt,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1184.0,1.184
RYbiElHtAJ,Prod,/job:localhost/replica:0/task:0/device:MUSA:0,1182.0,1.182
aUFV2YqClG,Select,/job:localhost/replica:0/task:0/device:MUSA:0,1177.0,1.177
MK5ypSGX6f,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1176.0,1.176
SqWBJtvguR,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1176.0,1.176
3pvfOt6zWY,Pow,/job:localhost/replica:0/task:0/device:MUSA:0,1174.0,1.174
WEdjJIBeG6,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1171.0,1.171
tjroqZYJCu,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1171.0,1.171
KWuVyRXrbM,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1170.0,1.17
yE9xB21t5j,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1169.0,1.169
bOs7oyPiGa,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1169.0,1.169
nvjwToi8P6,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1168.0,1.168
b0ykfGtj42,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1165.0,1.165
UaVzGkwclZ,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1165.0,1.165
LqWblInXC3,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1164.0,1.164
kwEsNPtDbI,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1162.0,1.162
jGUxv2Hdcm,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1162.0,1.162
TFNgBtVjaf,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1160.0,1.16
Jly3Gq6NP9,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1159.0,1.159
ChmcpIYQzJ,Fill,/job:localhost/replica:0/task:0/device:MUSA:0,1158.0,1.158
FinbdIDqah,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1156.0,1.156
z1qJLFPsrk,Mean,/job:localhost/replica:0/task:0/device:MUSA:0,1156.0,1.156
7LnWbGorZR,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1155.0,1.155
uZJxTp17sh,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1154.0,1.154
LoqSmEuPXG,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1154.0,1.154
bZTI4XdrRj,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1153.0,1.153
geM5ITBvPh,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1151.0,1.151
5PustIWgBf,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1151.0,1.151
Vu14e0ngqc,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1150.0,1.15
rhjMbL9EKy,Select,/job:localhost/replica:0/task:0/device:MUSA:0,1146.0,1.146
NSYVX0PLcr,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1145.0,1.145
A4Hm3JThN7,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1145.0,1.145
wFAN3LOkKa,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1144.0,1.144
CqIbOHWjm2,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1144.0,1.144
LJDBqUYvct,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1144.0,1.144
