Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.3,45729,29,1576.9,1312.0,1024,8096,1294.1,Rsqrt_GPU_DT_FLOAT_DT_FLOAT_kernel
0.3,43168,1,43168.0,43168.0,43168,43168,0.0,"void gemmSN_NN_kernel<float, (int)128, (int)2, (int)4, (int)8, (int)4, (int)4, (bool)0, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>>(cublasGemmSmallNParams<T9, T10, T11, T1>)"
0.2,39328,19,2069.9,2208.0,1344,2944,371.0,"void splitKreduce_kernel<(int)32, (int)16, int, float, float, float, float, (bool)1, (bool)0, (bool)0>(cublasSplitKParams<T6>, const T4 *, const T5 *, T5 *, const T6 *, const T6 *, const T7 *, const T4 *, T7 *, void *, long, T6 *, int *)"
0.2,37792,3,12597.3,3104.0,3008,31680,16526.1,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<const Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<unsigned int, (int)4, (int)1, long>, (int)16, Eigen::MakePointer>, const Eigen::TensorShufflingOp<const Eigen::array<int, (unsigned long)4>, const Eigen::TensorMap<Eigen::Tensor<const unsigned int, (int)4, (int)1, long>, (int)16, Eigen::MakePointer>>>, Eigen::GpuDevice>, long>(T1, T2)"
0.2,27616,24,1150.7,1120.0,1024,1568,122.1,Cast_GPU_DT_INT32_DT_FLOAT_kernel
0.2,26944,2,13472.0,13472.0,8896,18048,6471.4,void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x64_16x6_nn_align1>(T1::Params)
0.2,26112,19,1374.3,1248.0,1056,3328,497.7,Neg_GPU_DT_FLOAT_DT_FLOAT_kernel
0.2,24864,13,1912.6,1888.0,1664,2208,192.1,Tanh_GPU_DT_FLOAT_DT_FLOAT_kernel
0.1,23456,20,1172.8,1216.0,1056,1280,71.4,"void tensorflow::functor::BlockReduceKernel<int *, int *, (int)256, tensorflow::functor::Prod<int>>(T1, T2, int, T4, std::iterator_traits<T1>::value_type)"
0.1,19680,1,19680.0,19680.0,19680,19680,0.0,void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x128_32x3_nn_align1>(T1::Params)
0.1,19584,3,6528.0,6496.0,6496,6592,55.4,"void tensorflow::functor::RowReduceKernel<float *, float *, tensorflow::functor::Sum<float>>(T1, T2, int, int, T3, std::iterator_traits<T1>::value_type)"
0.1,18144,5,3628.8,3840.0,3232,3904,334.5,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, float, float, float, float, (bool)0, (bool)1, (bool)0, (bool)0, (int)6, (bool)0, cublasGemvParams<cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T13)"
0.1,16992,9,1888.0,2016.0,1440,2272,325.6,"void tensorflow::functor::RowReduceKernel<float *, tensorflow::TransformOutputIterator<float, float, tensorflow::functor::DividesBy<float, float>, long>, tensorflow::functor::Sum<float>>(T1, T2, int, int, T3, std::iterator_traits<T1>::value_type)"
0.1,15584,5,3116.8,3200.0,2816,3200,168.7,void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x64_16x10_nn_align4>(T1::Params)
0.1,12736,3,4245.3,4256.0,4192,4288,48.9,"void tensorflow::functor::SwapDimension1And2InTensor3UsingTiles<unsigned int, (int)256, (int)32, (int)32, (bool)0>(const T1 *, tensorflow::functor::Dimension<(int)3>, T1 *)"
0.1,10944,3,3648.0,4416.0,1600,4928,1792.0,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, float, float, float, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParams<cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T13)"
0.1,9408,2,4704.0,4704.0,3648,5760,1493.4,"void tensorflow::functor::ColumnReduceSimpleKernel<float *, float *, tensorflow::functor::Prod<float>>(T1, T2, int, int, int, T3)"
0.0,8032,5,1606.4,1600.0,1536,1728,73.0,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<const Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, (int)1, (int)1, long>, (int)16, Eigen::MakePointer>, const Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_sum_op<const float, const float>, const Eigen::TensorMap<Eigen::Tensor<const float, (int)1, (int)1, long>, (int)16, Eigen::MakePointer>, const Eigen::TensorMap<Eigen::Tensor<const float, (int)1, (int)1, long>, (int)16, Eigen::MakePointer>>>, Eigen::GpuDevice>, long>(T1, T2)"
0.0,7520,4,1880.0,1440.0,1280,3360,989.5,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<const Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, (int)1, (int)1, int>, (int)16, Eigen::MakePointer>, const Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_logistic_op<float>, const Eigen::TensorMap<Eigen::Tensor<const float, (int)1, (int)1, int>, (int)16, Eigen::MakePointer>>>, Eigen::GpuDevice>, int>(T1, T2)"
0.0,6304,1,6304.0,6304.0,6304,6304,0.0,"void tensorflow::functor::ColumnReduceSimpleKernel<float *, float *, tensorflow::functor::Sum<float>>(T1, T2, int, int, int, T3)"
0.0,4960,1,4960.0,4960.0,4960,4960,0.0,"void tensorflow::functor::ColumnReduceSimpleKernel<float *, tensorflow::TransformOutputIterator<float, float, tensorflow::functor::DividesBy<float, float>, long>, tensorflow::functor::Sum<float>>(T1, T2, int, int, int, T3)"
0.0,4288,1,4288.0,4288.0,4288,4288,0.0,Square_GPU_DT_FLOAT_DT_FLOAT_kernel
