op_type,device,count,time_us,time_ms,avg_us_per_call
Slice,/job:localhost/replica:0/task:0/device:GPU:0,1544,19960.0,19.96,12.927461139896373
MatMul,/job:localhost/replica:0/task:0/device:GPU:0,164,5840.0,5.84,35.609756097560975
ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,59,2491.0,2.491,42.220338983050844
RealDiv,/job:localhost/replica:0/task:0/device:GPU:0,139,1025.0,1.025,7.374100719424461
Reshape,/job:localhost/replica:0/task:0/device:GPU:0,405,942.0,0.942,2.325925925925926
Placeholder,/job:localhost/replica:0/task:0/device:CPU:0,967,911.0,0.911,0.9420889348500517
Pow,/job:localhost/replica:0/task:0/device:GPU:0,113,843.0,0.843,7.460176991150442
Fill,/job:localhost/replica:0/task:0/device:GPU:0,35,796.0,0.796,22.742857142857144
Sub,/job:localhost/replica:0/task:0/device:GPU:0,106,729.0,0.729,6.877358490566038
Prod,/job:localhost/replica:0/task:0/device:GPU:0,62,727.0,0.727,11.725806451612904
Conv2D,/job:localhost/replica:0/task:0/device:GPU:0,4,637.0,0.637,159.25
Select,/job:localhost/replica:0/task:0/device:GPU:0,35,562.0,0.562,16.057142857142857
Pack,/job:localhost/replica:0/task:0/device:GPU:0,156,546.0,0.546,3.5
RandomUniform,/job:localhost/replica:0/task:0/device:GPU:0,18,522.0,0.522,29.0
AddV2,/job:localhost/replica:0/task:0/device:GPU:0,58,508.0,0.508,8.758620689655173
Less,/job:localhost/replica:0/task:0/device:GPU:0,20,501.0,0.501,25.05
Shape,/job:localhost/replica:0/task:0/device:GPU:0,137,475.0,0.475,3.4671532846715327
Mul,/job:localhost/replica:0/task:0/device:GPU:0,52,433.0,0.433,8.326923076923077
Unpack,/job:localhost/replica:0/task:0/device:GPU:0,102,380.0,0.38,3.7254901960784315
Const,/job:localhost/replica:0/task:0/device:GPU:0,158,364.0,0.364,2.3037974683544302
Add,/job:localhost/replica:0/task:0/device:GPU:0,52,353.0,0.353,6.788461538461538
Relu,/job:localhost/replica:0/task:0/device:GPU:0,33,333.0,0.333,10.090909090909092
ZerosLike,/job:localhost/replica:0/task:0/device:GPU:0,18,293.0,0.293,16.27777777777778
Split,/job:localhost/replica:0/task:0/device:GPU:0,12,282.0,0.282,23.5
Mean,/job:localhost/replica:0/task:0/device:GPU:0,17,260.0,0.26,15.294117647058824
Cast,/job:localhost/replica:0/task:0/device:GPU:0,13,249.0,0.249,19.153846153846153
SquaredDifference,/job:localhost/replica:0/task:0/device:GPU:0,17,231.0,0.231,13.588235294117647
StridedSlice,/job:localhost/replica:0/task:0/device:GPU:0,21,212.0,0.212,10.095238095238095
Sum,/job:localhost/replica:0/task:0/device:GPU:0,15,174.0,0.174,11.6
SplitV,/job:localhost/replica:0/task:0/device:GPU:0,14,170.0,0.17,12.142857142857142
Sigmoid,/job:localhost/replica:0/task:0/device:GPU:0,21,168.0,0.168,8.0
AddN,/job:localhost/replica:0/task:0/device:GPU:0,7,168.0,0.168,24.0
BatchMatMulV2,/job:localhost/replica:0/task:0/device:GPU:0,6,152.0,0.152,25.333333333333332
Rsqrt,/job:localhost/replica:0/task:0/device:GPU:0,18,142.0,0.142,7.888888888888889
Log,/job:localhost/replica:0/task:0/device:GPU:0,19,123.0,0.123,6.473684210526316
Einsum,/job:localhost/replica:0/task:0/device:GPU:0,2,113.0,0.113,56.5
Tanh,/job:localhost/replica:0/task:0/device:GPU:0,9,112.0,0.112,12.444444444444445
Tile,/job:localhost/replica:0/task:0/device:GPU:0,12,104.0,0.104,8.666666666666666
Equal,/job:localhost/replica:0/task:0/device:GPU:0,13,87.0,0.087,6.6923076923076925
Transpose,/job:localhost/replica:0/task:0/device:GPU:0,8,87.0,0.087,10.875
Greater,/job:localhost/replica:0/task:0/device:GPU:0,5,79.0,0.079,15.8
Minimum,/job:localhost/replica:0/task:0/device:GPU:0,9,70.0,0.07,7.777777777777778
Switch,/job:localhost/replica:0/task:0/device:GPU:0,27,70.0,0.07,2.5925925925925926
Neg,/job:localhost/replica:0/task:0/device:GPU:0,8,53.0,0.053,6.625
Softmax,/job:localhost/replica:0/task:0/device:GPU:0,2,51.0,0.051,25.5
BitwiseAnd,/job:localhost/replica:0/task:0/device:GPU:0,3,46.0,0.046,15.333333333333334
Max,/job:localhost/replica:0/task:0/device:GPU:0,2,36.0,0.036,18.0
Exp,/job:localhost/replica:0/task:0/device:GPU:0,5,34.0,0.034,6.8
Sqrt,/job:localhost/replica:0/task:0/device:GPU:0,5,31.0,0.031,6.2
Maximum,/job:localhost/replica:0/task:0/device:GPU:0,9,31.0,0.031,3.4444444444444446
Unknown,/job:localhost/replica:0/task:0/device:GPU:0,11,27.0,0.027,2.4545454545454546
Log1p,/job:localhost/replica:0/task:0/device:GPU:0,4,27.0,0.027,6.75
GreaterEqual,/job:localhost/replica:0/task:0/device:GPU:0,2,23.0,0.023,11.5
Squeeze,/job:localhost/replica:0/task:0/device:GPU:0,4,22.0,0.022,5.5
Pad,/job:localhost/replica:0/task:0/device:GPU:0,1,22.0,0.022,22.0
Switch,/job:localhost/replica:0/task:0/device:CPU:0,9,15.0,0.015,1.6666666666666667
Round,/job:localhost/replica:0/task:0/device:GPU:0,1,14.0,0.014,14.0
ExpandDims,/job:localhost/replica:0/task:0/device:GPU:0,2,13.0,0.013,6.5
Softplus,/job:localhost/replica:0/task:0/device:GPU:0,1,11.0,0.011,11.0
Equal,/job:localhost/replica:0/task:0/device:CPU:0,1,11.0,0.011,11.0
Abs,/job:localhost/replica:0/task:0/device:GPU:0,1,10.0,0.01,10.0
Neg,/job:localhost/replica:0/task:0/device:CPU:0,1,7.0,0.007,7.0
Const,/job:localhost/replica:0/task:0/device:CPU:0,2,5.0,0.005,2.5
Select,/job:localhost/replica:0/task:0/device:CPU:0,2,5.0,0.005,2.5
Reshape,/job:localhost/replica:0/task:0/device:CPU:0,1,3.0,0.003,3.0
Rsqrt,/job:localhost/replica:0/task:0/device:CPU:0,1,1.0,0.001,1.0
Sub,/job:localhost/replica:0/task:0/device:CPU:0,1,1.0,0.001,1.0
Unknown,/job:localhost/replica:0/task:0/device:CPU:0,1,0.0,0.0,0.0
