node_name,op_type,device,time_us,time_ms
AELpXGoDSB,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,462.0,0.462
cqmawLCJ5Z,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,366.0,0.366
vebgFBhHSz,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,349.0,0.349
zNMZ9FRWQX,Conv2D,/job:localhost/replica:0/task:0/device:GPU:0,252.0,0.252
jmxRKsX6Ec,Conv2D,/job:localhost/replica:0/task:0/device:GPU:0,172.0,0.172
DWjBLadqYt,Conv2D,/job:localhost/replica:0/task:0/device:GPU:0,168.0,0.168
KrqgiS0NoQ,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,141.0,0.141
zYcSaLb5RH,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,135.0,0.135
jw9DROUiMs,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,132.0,0.132
7DjelkLBFg,Slice,/job:localhost/replica:0/task:0/device:GPU:0,123.0,0.123
w4Qm80TBV6,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,117.0,0.117
lojU9f7ay5,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,111.0,0.111
b1lQUCG6vt,Fill,/job:localhost/replica:0/task:0/device:GPU:0,109.0,0.109
DKdoQpx39C,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,107.0,0.107
V3sbMuYa9h,Slice,/job:localhost/replica:0/task:0/device:GPU:0,102.0,0.102
xchTJLipAb,Slice,/job:localhost/replica:0/task:0/device:GPU:0,101.0,0.101
bn0CimKPuw,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,101.0,0.101
1vdyAfZC6R,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,100.0,0.1
mhSFtOa7Xo,Less,/job:localhost/replica:0/task:0/device:GPU:0,95.0,0.095
BXs3rURkvT,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,92.0,0.092
MDOmSRdHzQ,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,92.0,0.092
g1akdn4Gqi,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,91.0,0.091
7da9CzORYX,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,91.0,0.091
cmMYZBJWT2,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,88.0,0.088
i0Ejp1JWSI,Fill,/job:localhost/replica:0/task:0/device:GPU:0,86.0,0.086
ayeTWN63Dd,Fill,/job:localhost/replica:0/task:0/device:GPU:0,82.0,0.082
I35qO2XJxr,Slice,/job:localhost/replica:0/task:0/device:GPU:0,80.0,0.08
