op_type,device,count,time_us,time_ms,avg_us_per_call
Slice,/job:localhost/replica:0/task:0/device:GPU:0,890,19429.0,19.429,21.830337078651684
MatMul,/job:localhost/replica:0/task:0/device:GPU:0,264,11007.0,11.007,41.69318181818182
ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,129,4852.0,4.852,37.6124031007752
GatherV2,/job:localhost/replica:0/task:0/device:GPU:0,40,2371.0,2.371,59.275
BatchMatMulV2,/job:localhost/replica:0/task:0/device:GPU:0,27,1515.0,1.515,56.111111111111114
Pack,/job:localhost/replica:0/task:0/device:GPU:0,74,1041.0,1.041,14.067567567567568
Const,/job:localhost/replica:0/task:0/device:GPU:0,360,827.0,0.827,2.297222222222222
Prod,/job:localhost/replica:0/task:0/device:GPU:0,57,747.0,0.747,13.105263157894736
Pow,/job:localhost/replica:0/task:0/device:GPU:0,60,537.0,0.537,8.95
Cast,/job:localhost/replica:0/task:0/device:GPU:0,24,481.0,0.481,20.041666666666668
Softmax,/job:localhost/replica:0/task:0/device:GPU:0,15,479.0,0.479,31.933333333333334
Sub,/job:localhost/replica:0/task:0/device:GPU:0,44,444.0,0.444,10.090909090909092
Add,/job:localhost/replica:0/task:0/device:GPU:0,46,436.0,0.436,9.478260869565217
RealDiv,/job:localhost/replica:0/task:0/device:GPU:0,46,405.0,0.405,8.804347826086957
Placeholder,/job:localhost/replica:0/task:0/device:CPU:0,377,343.0,0.343,0.9098143236074271
AddV2,/job:localhost/replica:0/task:0/device:GPU:0,39,330.0,0.33,8.461538461538462
StridedSlice,/job:localhost/replica:0/task:0/device:GPU:0,37,310.0,0.31,8.378378378378379
Relu,/job:localhost/replica:0/task:0/device:GPU:0,45,232.0,0.232,5.155555555555556
Rsqrt,/job:localhost/replica:0/task:0/device:GPU:0,29,229.0,0.229,7.896551724137931
Reshape,/job:localhost/replica:0/task:0/device:GPU:0,96,211.0,0.211,2.1979166666666665
LeakyRelu,/job:localhost/replica:0/task:0/device:GPU:0,32,203.0,0.203,6.34375
Split,/job:localhost/replica:0/task:0/device:GPU:0,16,201.0,0.201,12.5625
Log,/job:localhost/replica:0/task:0/device:GPU:0,28,193.0,0.193,6.892857142857143
Tanh,/job:localhost/replica:0/task:0/device:GPU:0,13,171.0,0.171,13.153846153846153
Neg,/job:localhost/replica:0/task:0/device:GPU:0,17,161.0,0.161,9.470588235294118
Mul,/job:localhost/replica:0/task:0/device:GPU:0,22,150.0,0.15,6.818181818181818
AddN,/job:localhost/replica:0/task:0/device:GPU:0,1,135.0,0.135,135.0
ExpandDims,/job:localhost/replica:0/task:0/device:GPU:0,47,115.0,0.115,2.4468085106382977
Mean,/job:localhost/replica:0/task:0/device:GPU:0,10,88.0,0.088,8.8
Transpose,/job:localhost/replica:0/task:0/device:GPU:0,12,86.0,0.086,7.166666666666667
Shape,/job:localhost/replica:0/task:0/device:GPU:0,20,65.0,0.065,3.25
SquaredDifference,/job:localhost/replica:0/task:0/device:GPU:0,4,48.0,0.048,12.0
Sigmoid,/job:localhost/replica:0/task:0/device:GPU:0,4,37.0,0.037,9.25
Sum,/job:localhost/replica:0/task:0/device:GPU:0,4,37.0,0.037,9.25
Tanh,/job:localhost/replica:0/task:0/device:CPU:0,1,5.0,0.005,5.0
RealDiv,/job:localhost/replica:0/task:0/device:CPU:0,2,3.0,0.003,1.5
StridedSlice,/job:localhost/replica:0/task:0/device:CPU:0,1,1.0,0.001,1.0
Sub,/job:localhost/replica:0/task:0/device:CPU:0,1,1.0,0.001,1.0
Unknown,/job:localhost/replica:0/task:0/device:GPU:0,1,0.0,0.0,0.0
Unknown,/job:localhost/replica:0/task:0/device:CPU:0,1,0.0,0.0,0.0
