op_type,musa_time_us,cuda_time_us,time_us_diff_musa_minus_cuda,musa_count,cuda_count,count_diff_musa_minus_cuda
Slice,192229.0,19429.0,172800.0,890,890,0
Pack,43520.0,1041.0,42479.0,74,74,0
ExpandDims,7395.0,115.0,7280.0,47,47,0
Cast,3456.0,481.0,2975.0,24,24,0
Sub,3382.0,444.0,2938.0,44,44,0
ConcatV2,7663.0,4852.0,2811.0,129,129,0
RealDiv,2814.0,405.0,2409.0,46,46,0
Const,3216.0,827.0,2389.0,360,360,0
Pow,1851.0,537.0,1314.0,60,60,0
AddV2,1573.0,330.0,1243.0,39,39,0
Add,1441.0,436.0,1005.0,46,46,0
Prod,1594.0,747.0,847.0,57,57,0
AddN,918.0,135.0,783.0,1,1,0
Rsqrt,898.0,229.0,669.0,29,29,0
Split,794.0,201.0,593.0,16,16,0
Relu,680.0,232.0,448.0,45,45,0
LeakyRelu,569.0,203.0,366.0,32,32,0
StridedSlice,585.0,310.0,275.0,37,37,0
Neg,358.0,161.0,197.0,17,17,0
Tanh,351.0,171.0,180.0,13,13,0
Log,330.0,193.0,137.0,28,28,0
Mul,259.0,150.0,109.0,22,22,0
Transpose,191.0,86.0,105.0,12,12,0
Mean,142.0,88.0,54.0,10,10,0
SquaredDifference,91.0,48.0,43.0,4,4,0
Sum,40.0,37.0,3.0,4,4,0
Sigmoid,36.0,37.0,-1.0,4,4,0
Shape,52.0,65.0,-13.0,20,20,0
Reshape,97.0,211.0,-114.0,96,96,0
Softmax,187.0,479.0,-292.0,15,15,0
BatchMatMulV2,514.0,1515.0,-1001.0,27,27,0
GatherV2,1205.0,2371.0,-1166.0,40,40,0
MatMul,9141.0,11007.0,-1866.0,264,264,0
__TOTAL__,287572.0,47573.0,239999.0,2552,2552,0
