Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
31.3,275656097,2283,120742.9,8122.0,2360,22736238,671180.5,cuMemcpyHtoDAsync_v2
18.4,161575654,1870,86404.1,6013.0,2645,33395452,897051.2,cudaLaunchKernel
17.6,154637838,4600,33616.9,692.0,270,29910063,785637.5,cuEventRecord
14.9,131562665,4,32890666.3,9993181.5,8011,111568291,53138957.6,cudaFree
9.2,81307475,79,1029208.5,96764.0,30372,20254641,2896472.4,cuModuleLoadData
4.1,36373314,3,12124438.0,11549951.0,2878993,21944370,9545662.7,cuMemHostAlloc
1.8,15764379,13,1212644.5,1075126.0,55384,5448683,1347661.6,cuModuleUnload
1.0,9134224,1220,7487.1,4759.0,2359,1908233,54743.8,cuLaunchKernel
0.5,4448730,4395,1012.2,831.0,313,18001,817.0,cuEventQuery
0.4,3120580,2264,1378.3,578.0,345,61376,4311.5,cuStreamWaitEvent
0.2,1774774,1,1774774.0,1774774.0,1774774,1774774,0.0,cuMemAlloc_v2
0.2,1741272,10343,168.4,122.0,72,28728,388.0,cuCtxSetCurrent
0.1,872066,2,436033.0,436033.0,320120,551946,163925.7,cudaGetDeviceProperties
0.1,724226,18,40234.8,12476.5,261,220314,65708.3,cudaEventCreateWithFlags
0.1,485358,3,161786.0,139925.0,5169,340264,168613.7,cudaMalloc
0.1,470645,37,12720.1,9113.0,3269,43026,9850.3,cuMemcpyDtoHAsync_v2
0.0,224473,1152,194.9,150.0,81,1799,116.9,cuGetProcAddress
0.0,189435,52,3643.0,780.0,405,40995,7906.2,cudaEventRecord
0.0,82939,202,410.6,237.0,160,6921,670.7,cudaStreamGetCaptureInfo
0.0,79652,2,39826.0,39826.0,35333,44319,6354.1,cuMemGetInfo_v2
0.0,79253,52,1524.1,1072.0,446,6445,1316.1,cudaEventQuery
0.0,45009,5,9001.8,9045.0,3277,14406,5067.7,cudaMemsetAsync
0.0,34474,4,8618.5,2457.5,2183,27376,12506.9,cuStreamCreate
0.0,31133,1,31133.0,31133.0,31133,31133,0.0,cuMemsetD32_v2
0.0,13249,7,1892.7,880.0,258,6245,2104.5,cuEventCreate
0.0,6883,3,2294.3,2640.0,1299,2944,875.3,cuInit
0.0,2479,1,2479.0,2479.0,2479,2479,0.0,cuStreamSynchronize
0.0,572,3,190.7,213.0,126,233,56.9,cuModuleGetLoadingMode
