Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
9.0,5084878,25,203395.1,199008.0,4096,465314,151954.3,Pow_GPU_DT_HALF_DT_HALF_kernel
8.1,4539598,14,324257.0,287201.0,285185,546018,93946.4,void cutlass::Kernel<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x128_32x4_nn_align8>(T1::Params)
6.4,3600779,6,600129.8,557570.0,427457,815394,176527.6,void cutlass::Kernel<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x256_32x3_nn_align8>(T1::Params)
5.8,3269610,15,217974.0,248161.0,3936,354465,122021.3,Div_GPU_DT_HALF_DT_HALF_kernel
5.7,3189866,22,144993.9,134704.5,27201,311521,86903.1,Sub_GPU_DT_HALF_DT_HALF_kernel
5.4,3059975,180,16999.9,1392.0,1088,239649,40719.4,Mul_GPU_DT_FLOAT_DT_FLOAT_kernel
4.9,2753832,156,17652.8,2144.0,1120,230977,44379.0,Pow_GPU_DT_FLOAT_DT_FLOAT_kernel
4.1,2277576,122,18668.7,1664.0,1408,230017,46314.2,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<const Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, (int)1, (int)1, long>, (int)16, Eigen::MakePointer>, const Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_max_op<const float, const float, (int)1>, const Eigen::TensorMap<Eigen::Tensor<const float, (int)1, (int)1, long>, (int)16, Eigen::MakePointer>, const Eigen::TensorCwiseNullaryOp<Eigen::internal::scalar_constant_op<const float>, const Eigen::TensorMap<Eigen::Tensor<const float, (int)1, (int)1, long>, (int)16, Eigen::MakePointer>>>>, Eigen::GpuDevice>, long>(T1, T2)"
4.0,2258947,17,132879.2,128960.0,27521,332033,79240.5,Mul_GPU_DT_HALF_DT_HALF_kernel
3.5,1949221,196,9945.0,1376.0,1088,237857,31378.8,AddV2_GPU_DT_FLOAT_DT_FLOAT_kernel
3.4,1891107,623,3035.5,1472.0,1120,109537,6665.3,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<const Eigen::TensorAssignOp<Eigen::TensorSlicingOp<const Eigen::array<int, (unsigned long)2>, const Eigen::array<int, (unsigned long)2>, Eigen::TensorMap<Eigen::Tensor<float, (int)2, (int)1, int>, (int)16, Eigen::MakePointer>>, const Eigen::TensorMap<Eigen::Tensor<const float, (int)2, (int)1, int>, (int)16, Eigen::MakePointer>>, Eigen::GpuDevice>, int>(T1, T2)"
