type,run_idx,latency_ms
run,1,224.587932
run,2,237.115081
run,3,221.715426
run,4,217.312142
run,5,217.495531
run,6,212.596899
run,7,233.753316
run,8,238.890097
run,9,222.107645
run,10,213.969219
run,11,240.522103
run,12,240.348890
run,13,231.397426
run,14,223.961756
run,15,221.760025
run,16,223.141789
run,17,217.941802
run,18,272.728547
run,19,251.244597
run,20,235.680880
run,21,240.130380
run,22,207.346270
run,23,209.622743
run,24,215.168843
run,25,224.829419
run,26,235.256683
run,27,217.066804
run,28,214.110792
run,29,217.799447
run,30,217.719303
run,31,219.540628
run,32,251.166990
run,33,224.768514
run,34,225.311276
run,35,213.428199
run,36,208.941935
run,37,204.621695
run,38,214.322632
run,39,221.390627
run,40,223.223992
run,41,226.673508
run,42,244.491754
run,43,224.479098
run,44,218.284424
run,45,211.759608
run,46,209.519792
run,47,204.452112
run,48,215.182059
run,49,220.481185
run,50,223.825367

summary,metric,value
summary,warmup_runs,10
summary,num_runs,50
summary,avg_ms,224.063744
summary,p50_ms,221.737726
summary,p95_ms,248.163134
summary,min_ms,204.452112
summary,max_ms,272.728547
