pb_file,node_name,op_type,dtype,output_shapes,device,input_count,inputs,attr_keys
meta_graph_3_frozen.pb,w60RMl5kKs,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_3_frozen.pb,5i8kXqODcS,Const,DT_INT32,,,0,,dtype|value
meta_graph_3_frozen.pb,M1kU2VJ5YA,Const,DT_INT32,,,0,,dtype|value
meta_graph_3_frozen.pb,3ji2t8Vv1P,Slice,DT_FLOAT,,,3,w60RMl5kKs|5i8kXqODcS|M1kU2VJ5YA,Index|T
meta_graph_3_frozen.pb,I9CrY8JaF0,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_3_frozen.pb,Ru9JqtVZf1,Const,DT_INT32,,,0,,dtype|value
meta_graph_3_frozen.pb,91CuyPxn4m,Const,DT_INT32,,,0,,dtype|value
meta_graph_3_frozen.pb,96oOE0ukZp,Slice,DT_FLOAT,,,3,I9CrY8JaF0|Ru9JqtVZf1|91CuyPxn4m,Index|T
meta_graph_3_frozen.pb,PsJFjIpN2c,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_3_frozen.pb,bGaJwsSIz2,Const,DT_INT32,,,0,,dtype|value
meta_graph_3_frozen.pb,kOSKspZJzD,Const,DT_INT32,,,0,,dtype|value
meta_graph_3_frozen.pb,pIh60qNMLX,Slice,DT_FLOAT,,,3,PsJFjIpN2c|bGaJwsSIz2|kOSKspZJzD,Index|T
meta_graph_3_frozen.pb,eQLw46iVSA,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_3_frozen.pb,ANBhQVspmt,Const,DT_INT32,,,0,,dtype|value
meta_graph_3_frozen.pb,7r5IclRSEX,Const,DT_INT32,,,0,,dtype|value
meta_graph_3_frozen.pb,C0mtk6MfRF,Slice,DT_FLOAT,,,3,eQLw46iVSA|ANBhQVspmt|7r5IclRSEX,Index|T
meta_graph_3_frozen.pb,pC3QnAho2e,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_3_frozen.pb,lJMBQcxf47,Const,DT_INT32,,,0,,dtype|value
meta_graph_3_frozen.pb,lhboJn5DLz,Const,DT_INT32,,,0,,dtype|value
meta_graph_3_frozen.pb,MQrq85j1Pd,Slice,DT_FLOAT,,,3,pC3QnAho2e|lJMBQcxf47|lhboJn5DLz,Index|T
meta_graph_3_frozen.pb,IgdGSlUyMu,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_3_frozen.pb,vM6bhkRJiA,Const,DT_INT32,,,0,,dtype|value
meta_graph_3_frozen.pb,s6DBPUZVCc,Const,DT_INT32,,,0,,dtype|value
meta_graph_3_frozen.pb,IkiEcJB8l4,Slice,DT_FLOAT,,,3,IgdGSlUyMu|vM6bhkRJiA|s6DBPUZVCc,Index|T
meta_graph_3_frozen.pb,3h4YsvU0yZ,Placeholder,DT_FLOAT,,,0,,dtype|shape
