pb_file,node_name,op_type,dtype,output_shapes,device,input_count,inputs,attr_keys
meta_graph_2_frozen.pb,XIkODteyAu,Reshape,DT_FLOAT,,,2,x9fbkFy5YT|rSRW5MZUl6,T|Tshape
meta_graph_2_frozen.pb,8vkE7mshe0,MatMul,DT_FLOAT,,,2,toiY29KWwB|gBhNOoaImk,T|grad_a|grad_b|transpose_a|transpose_b
meta_graph_2_frozen.pb,4FuhXE1tCD,BiasAdd,DT_FLOAT,,,2,8vkE7mshe0|XIkODteyAu,T|data_format
meta_graph_2_frozen.pb,F1obuJQmxM,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_2_frozen.pb,u9AkPvQqKi,Const,DT_FLOAT,,,0,,dtype|value
meta_graph_2_frozen.pb,qldXWNuyc8,Const,DT_FLOAT,,,0,,dtype|value
meta_graph_2_frozen.pb,vea3Qry6Pu,Const,DT_FLOAT,,,0,,dtype|value
meta_graph_2_frozen.pb,jTVpWvfEx3,Const,DT_FLOAT,,,0,,dtype|value
meta_graph_2_frozen.pb,GhcXALdE19,Const,DT_FLOAT,,,0,,dtype|value
meta_graph_2_frozen.pb,JxOgadw52X,Const,DT_FLOAT,,,0,,dtype|value
meta_graph_2_frozen.pb,zTd7VZ41uA,Const,DT_FLOAT,,,0,,dtype|value
meta_graph_2_frozen.pb,UXr91wnWIC,Const,DT_FLOAT,,,0,,dtype|value
meta_graph_2_frozen.pb,kepFjxEMIz,Const,DT_FLOAT,,,0,,dtype|value
meta_graph_2_frozen.pb,2zOHxcVM9R,Const,DT_FLOAT,,,0,,dtype|value
meta_graph_2_frozen.pb,4ycJOuxmoV,Const,DT_FLOAT,,,0,,dtype|value
meta_graph_2_frozen.pb,iWVc1GnQIh,Const,DT_FLOAT,,,0,,dtype|value
meta_graph_2_frozen.pb,lu9aIP4QVC,Const,DT_FLOAT,,,0,,dtype|value
meta_graph_2_frozen.pb,MRIVXCFgW8,Const,DT_FLOAT,,,0,,dtype|value
meta_graph_2_frozen.pb,bZX6CNnOUu,Const,DT_FLOAT,,,0,,dtype|value
meta_graph_2_frozen.pb,QKcbSVmTwM,Const,DT_FLOAT,,,0,,dtype|value
meta_graph_2_frozen.pb,E5NICJMm78,Const,DT_INT32,,/device:CPU:0,0,,dtype|value
meta_graph_2_frozen.pb,ZxVsO2YqBl,ConcatV2,DT_FLOAT,,/device:CPU:0,17,u9AkPvQqKi|qldXWNuyc8|vea3Qry6Pu|jTVpWvfEx3|GhcXALdE19|JxOgadw52X|zTd7VZ41uA|UXr91wnWIC|kepFjxEMIz|2zOHxcVM9R|4ycJOuxmoV|iWVc1GnQIh|lu9aIP4QVC|MRIVXCFgW8|bZX6CNnOUu|QKcbSVmTwM|E5NICJMm78,N|T|Tidx
meta_graph_2_frozen.pb,hTfAQdUpSJ,Const,DT_INT32,,,0,,dtype|value
meta_graph_2_frozen.pb,jPbaOg72eQ,Reshape,DT_FLOAT,,,2,ZxVsO2YqBl|hTfAQdUpSJ,T|Tshape
meta_graph_2_frozen.pb,hrFcAkD3so,Const,DT_FLOAT,,,0,,dtype|value
meta_graph_2_frozen.pb,juHTK4vMzS,Const,DT_INT32,,,0,,dtype|value
meta_graph_2_frozen.pb,RSiACU4FzX,Reshape,DT_FLOAT,,,2,hrFcAkD3so|juHTK4vMzS,T|Tshape
meta_graph_2_frozen.pb,JHcxODVUYR,MatMul,DT_FLOAT,,,2,F1obuJQmxM|jPbaOg72eQ,T|grad_a|grad_b|transpose_a|transpose_b
meta_graph_2_frozen.pb,Ea8h4MVO3s,BiasAdd,DT_FLOAT,,,2,JHcxODVUYR|RSiACU4FzX,T|data_format
meta_graph_2_frozen.pb,RctBKb2vLM,Relu,DT_FLOAT,,,1,Ea8h4MVO3s,T
meta_graph_2_frozen.pb,XOdHeQr10V,Const,DT_FLOAT,,,0,,dtype|value
