pb_file,node_name,op_type,dtype,output_shapes,device,input_count,inputs,attr_keys
meta_graph_1_frozen.pb,E7gp4fKUyq,Slice,DT_FLOAT,,,3,qzd23aNGIT|qknEQ1ufpZ|C1mP0BNbku,Index|T
meta_graph_1_frozen.pb,khJcIxW3zv,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,fH3ZMlY6K0,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,WLDau6vbBr,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,TS7h24Yrcy,Slice,DT_FLOAT,,,3,khJcIxW3zv|fH3ZMlY6K0|WLDau6vbBr,Index|T
meta_graph_1_frozen.pb,Hnjq487SIY,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,M8dhicAT4o,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,aJEwblAIYx,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,p0dutmDAiq,Slice,DT_FLOAT,,,3,Hnjq487SIY|M8dhicAT4o|aJEwblAIYx,Index|T
meta_graph_1_frozen.pb,72zWmh93Bo,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,9sMRDjXoh4,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,qtfMV6Fhlb,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,E5vSZ7lB3T,Slice,DT_FLOAT,,,3,72zWmh93Bo|9sMRDjXoh4|qtfMV6Fhlb,Index|T
meta_graph_1_frozen.pb,r1WGP7Xe9H,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,1RWLphcUbY,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,z9BVLTgFvH,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,CV3NPv2aqT,Slice,DT_FLOAT,,,3,r1WGP7Xe9H|1RWLphcUbY|z9BVLTgFvH,Index|T
meta_graph_1_frozen.pb,XPcHGKbop2,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,XNBkH3iEju,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,BIVmt1bcoM,Const,DT_INT32,,,0,,dtype|value
