Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
6.7,4474094,113,39593.8,27488.0,1344,209536,49016.4,Pow_GPU_DT_FLOAT_DT_FLOAT_kernel
6.6,4403276,96,45867.5,50128.0,35616,68512,8502.6,redzone_checker
5.8,3887850,6,647975.0,360689.0,69120,1527428,683461.9,"void gemmk1_kernel<int, float2, (int)256, (int)5, (bool)1, (bool)0, (bool)0, (bool)0, cublasGemvTensorStridedBatched<const float2>, cublasGemvTensorStridedBatched<const float2>, cublasGemvTensorStridedBatched<float2>, float2, (int)0>(cublasGemmk1Params<T2, T9, T10, T11, T12, biasType<T11::value_type, T12>::type>)"
5.1,3429546,27,127020.2,126240.0,125825,142496,3126.9,void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_128x128_32x3_nn_align4>(T1::Params)
5.0,3323914,29,114617.7,85440.0,85120,442210,89158.6,void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_256x128_16x3_nn_align4>(T1::Params)
4.9,3284010,18,182445.0,14480.0,2048,699427,282381.1,"void internal::region_transform_ABC_val<int, (int)32, (int)32, (bool)0, internal::TransformParamsABC<float2, internal::TiledMatrixStridedBatch<internal::RawData<const float2, int>, internal::Tile_Col<int, (int)32>>, internal::TiledMatrixStridedBatch<internal::RawData<const float2, int>, internal::Tile_Col<int, (int)32>>, internal::TiledMatrixStridedBatch<internal::RawData<float2, int>, internal::Tile_Col<int, (int)32>>>>(T5, T5::Math, T5::Math)"
4.2,2834889,15,188992.6,170784.0,37408,338593,119732.9,void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_128x256_16x3_nn_align4>(T1::Params)
4.2,2824103,267,10577.2,2304.0,1056,142113,24081.1,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<const Eigen::TensorAssignOp<Eigen::TensorSlicingOp<const Eigen::array<int, (unsigned long)2>, const Eigen::array<int, (unsigned long)2>, Eigen::TensorMap<Eigen::Tensor<float, (int)2, (int)1, int>, (int)16, Eigen::MakePointer>>, const Eigen::TensorMap<Eigen::Tensor<const float, (int)2, (int)1, int>, (int)16, Eigen::MakePointer>>, Eigen::GpuDevice>, int>(T1, T2)"
4.1,2715880,6,452646.7,386705.5,185440,785570,272936.8,"void precomputed_convolve_sgemm<float, (int)1024, (int)5, (int)5, (int)4, (int)3, (int)3, (int)1, (bool)0>(int, int, int, const T1 *, int, T1 *, const T1 *, kernel_conv_params, unsigned long long, int, float, float, int, bool, const T1 *, const T1 *, int *)"
4.0,2673703,6,445617.2,382897.0,192192,761666,259198.5,"void implicit_convolve_sgemm<float, float, (int)128, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1, (bool)0, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, const T1 *, kernel_conv_params, unsigned long long, int, float, float, int, const T2 *, const T2 *, bool, int, int)"
3.9,2598341,77,33744.7,29024.0,1248,114464,31255.8,Div_GPU_DT_FLOAT_DT_FLOAT_kernel
3.7,2469031,89,27741.9,6624.0,1120,280513,48048.7,Mul_GPU_DT_FLOAT_DT_FLOAT_kernel
