Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
3.2,2168485,95,22826.2,18080.0,1056,199521,30225.8,Sub_GPU_DT_FLOAT_DT_FLOAT_kernel
2.8,1841922,103,17882.7,6560.0,1088,142464,25575.3,AddV2_GPU_DT_FLOAT_DT_FLOAT_kernel
2.4,1615909,1024,1578.0,1504.0,1184,4704,419.5,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<const Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, (int)2, (int)1, int>, (int)16, Eigen::MakePointer>, const Eigen::TensorSlicingOp<const Eigen::DSizes<int, (int)2>, const Eigen::DSizes<int, (int)2>, const Eigen::TensorMap<Eigen::Tensor<const float, (int)2, (int)1, int>, (int)16, Eigen::MakePointer>>>, Eigen::GpuDevice>, int>(T1, T2)"
2.3,1568068,37,42380.2,43520.0,14272,90752,10100.7,void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_128x128_16x5_nn_align4>(T1::Params)
2.1,1417348,2,708674.0,708674.0,708162,709186,724.1,"void DSE::vector_fft<(int)1, (int)2, (int)256, (int)16, (int)16, (int)1, float, float, float2>(T9 *, T9 *, int, int3, int3)"
2.1,1388614,10,138861.4,123360.5,55105,243361,77302.3,"void cudnn::cnn::conv2d_grouped_direct_kernel<(bool)0, (bool)1, (bool)0, (bool)0, (bool)0, (bool)0, (int)1, (int)0, int, float, float, float, float, float, float>(cudnn::cnn::GroupedDirectFpropParams, const T11 *, const T13 *, T12 *, T14, T14, const T14 *, const T14 *, const T12 *, const T15 *, cudnnActivationStruct)"
2.1,1378276,4,344569.0,339841.0,2752,695842,394771.8,"void DSE::vector_fft<(int)0, (int)1, (int)256, (int)16, (int)16, (int)1, float, float, float2>(T9 *, T9 *, int, int3, int3)"
1.9,1252165,5,250433.0,162337.0,86496,504738,169866.0,void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_128x128_32x3_nn_align1>(T1::Params)
1.7,1121955,33,33998.6,2432.0,1152,271809,60465.8,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<const Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, (int)1, (int)1, long>, (int)16, Eigen::MakePointer>, const Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_max_op<const float, const float, (int)1>, const Eigen::TensorMap<Eigen::Tensor<const float, (int)1, (int)1, long>, (int)16, Eigen::MakePointer>, const Eigen::TensorCwiseNullaryOp<Eigen::internal::scalar_constant_op<const float>, const Eigen::TensorMap<Eigen::Tensor<const float, (int)1, (int)1, long>, (int)16, Eigen::MakePointer>>>>, Eigen::GpuDevice>, long>(T1, T2)"
1.6,1082787,14,77341.9,36464.0,35776,320257,102875.0,"void gemmk1_kernel<int, float2, (int)256, (int)5, (bool)0, (bool)0, (bool)0, (bool)0, cublasGemvTensorStridedBatched<const float2>, cublasGemvTensorStridedBatched<const float2>, cublasGemvTensorStridedBatched<float2>, float2, (int)0>(cublasGemmk1Params<T2, T9, T10, T11, T12, biasType<T11::value_type, T12>::type>)"
1.4,926628,2,463314.0,463314.0,462242,464386,1516.0,"void DSE::regular_fft_clip<(int)1, (int)2, (int)256, (int)16, (int)16, (int)1, float, float, float2>(T7 *, T9 *, int, int3, int3, int, int3, int3, int, int, int, int, int, float, float, bool, int, T7 *, T7 *)"
1.3,858979,8,107372.4,116576.0,76865,119232,18697.6,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<const Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<unsigned int, (int)4, (int)1, long>, (int)16, Eigen::MakePointer>, const Eigen::TensorShufflingOp<const Eigen::array<int, (unsigned long)4>, const Eigen::TensorMap<Eigen::Tensor<const unsigned int, (int)4, (int)1, long>, (int)16, Eigen::MakePointer>>>, Eigen::GpuDevice>, long>(T1, T2)"
1.2,776642,4,194160.5,192880.5,4224,386657,219238.0,"void DSE::regular_fft_pad<(int)0, (int)1, (int)256, (int)16, (int)16, (int)1, float, float, float2>(T9 *, T7 *, int, int3, int3, int, int3, int3, int, int, int, int, int, bool)"
1.1,760739,12,63394.9,38192.5,4544,279713,81121.3,"void tensorflow::<unnamed>::SplitOpKernel<float>(const T1 *, int, int, int, tensorflow::GpuDeviceArrayStruct<T1 *, (int)8>)"
1.1,733283,33,22220.7,8992.0,1856,142560,30273.8,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<const Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, (int)3, (int)1, int>, (int)16, Eigen::MakePointer>, const Eigen::TensorSlicingOp<const Eigen::DSizes<int, (int)3>, const Eigen::DSizes<int, (int)3>, const Eigen::TensorMap<Eigen::Tensor<const float, (int)3, (int)1, int>, (int)16, Eigen::MakePointer>>>, Eigen::GpuDevice>, int>(T1, T2)"
1.1,710082,30,23669.4,12576.0,1984,84801,23446.9,"void tensorflow::functor::ColumnReduceSimpleKernel<float *, float *, tensorflow::functor::Prod<float>>(T1, T2, int, int, int, T3)"
1.0,690307,30,23010.2,8496.0,1504,131616,33916.5,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<const Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, (int)2, (int)1, int>, (int)16, Eigen::MakePointer>, const Eigen::TensorSlicingOp<const Eigen::DSizes<long, (int)2>, const Eigen::DSizes<long, (int)2>, const Eigen::TensorMap<Eigen::Tensor<const float, (int)2, (int)1, int>, (int)16, Eigen::MakePointer>>>, Eigen::GpuDevice>, int>(T1, T2)"
1.0,688866,24,28702.8,8464.0,3072,116960,32926.5,void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x64_16x6_nn_align4>(T1::Params)
0.8,501538,4,125384.5,158688.5,2048,182113,83836.1,Equal_GPU_DT_INT64_DT_BOOL_kernel
0.7,487937,1,487937.0,487937.0,487937,487937,0.0,void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x256_16x4_nn_align4>(T1::Params)
0.5,367491,17,21617.1,8352.0,6272,68097,26468.6,SquaredDifference_GPU_DT_FLOAT_DT_FLOAT_kernel
0.5,349313,2,174656.5,174656.5,174464,174849,272.2,"void gemmSN_TN_kernel<float, (int)128, (int)16, (int)2, (int)4, (int)14, (int)15, (bool)0, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>>(cublasGemmSmallNParams<T9, T10, T11, T1>)"
0.5,306050,12,25504.2,25440.5,25120,26208,364.0,"void implicit_convolve_sgemm<float, float, (int)128, (int)6, (int)7, (int)3, (int)3, (int)5, (int)1, (bool)0, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, const T1 *, kernel_conv_params, unsigned long long, int, float, float, int, const T2 *, const T2 *, bool, int, int)"
0.4,285569,2,142784.5,142784.5,138528,147041,6019.6,"void fft1d_r2c_256<float, float, float2, (bool)0, (bool)1>(T3 *, const T1 *, int3, int3, int2, int2)"
0.4,259712,2,129856.0,129856.0,129536,130176,452.5,"void gemmSN_NN_kernel<float, (int)128, (int)2, (int)4, (int)8, (int)7, (int)4, (bool)0, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>>(cublasGemmSmallNParams<T9, T10, T11, T1>)"
0.3,229954,12,19162.8,18784.0,13792,27424,3786.0,"void fft1d_r2c_32<float, float, float2, (bool)0, (bool)1>(T3 *, const T1 *, int, int3, int3, int2, int2)"
0.3,223584,2,111792.0,111792.0,111392,112192,565.7,"void fft1d_c2r_256<float2, float, float, (bool)0, (bool)1, (bool)0, (bool)1>(T3 *, const T1 *, int3, int3, int2, int, T2, T2, T3 *, T3 *)"
0.3,223266,16,13954.1,1344.0,1184,87617,27851.9,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<const Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, (int)1, (int)1, int>, (int)16, Eigen::MakePointer>, const Eigen::TensorSelectOp<const Eigen::TensorMap<Eigen::Tensor<const bool, (int)1, (int)1, int>, (int)16, Eigen::MakePointer>, const Eigen::TensorMap<Eigen::Tensor<const float, (int)1, (int)1, int>, (int)16, Eigen::MakePointer>, const Eigen::TensorMap<Eigen::Tensor<const float, (int)1, (int)1, int>, (int)16, Eigen::MakePointer>>>, Eigen::GpuDevice>, int>(T1, T2)"
0.3,214689,11,19517.2,18624.0,17600,22848,1807.1,Reciprocal_GPU_DT_FLOAT_DT_FLOAT_kernel
0.3,213824,11,19438.5,14624.0,5984,61792,16303.4,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<const Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, (int)2, (int)1, int>, (int)16, Eigen::MakePointer>, const Eigen::TensorBroadcastingOp<const Eigen::array<int, (unsigned long)2>, const Eigen::TensorMap<Eigen::Tensor<const float, (int)2, (int)1, int>, (int)16, Eigen::MakePointer>>>, Eigen::GpuDevice>, int>(T1, T2)"
0.3,207681,21,9889.6,1952.0,1216,24320,10046.6,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<const Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, (int)1, (int)1, int>, (int)16, Eigen::MakePointer>, const Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_logistic_op<float>, const Eigen::TensorMap<Eigen::Tensor<const float, (int)1, (int)1, int>, (int)16, Eigen::MakePointer>>>, Eigen::GpuDevice>, int>(T1, T2)"
0.3,199008,2,99504.0,99504.0,99008,100000,701.4,"void DSE::regular_fft_clip<(int)1, (int)2, (int)128, (int)16, (int)32, (int)1, float, float, float2>(T7 *, T9 *, int, int3, int3, int, int3, int3, int, int, int, int, int, float, float, bool, int, T7 *, T7 *)"
0.3,183712,4,45928.0,39888.0,4192,99744,49098.8,"void DSE::regular_fft_pad<(int)0, (int)1, (int)128, (int)16, (int)32, (int)1, float, float, float2>(T9 *, T7 *, int, int3, int3, int, int3, int3, int, int, int, int, int, bool)"
0.3,172128,6,28688.0,22880.0,11808,69344,21475.7,"void tensorflow::<unnamed>::concat_fixed_kernel<float, int>(tensorflow::GpuDeviceArrayStruct<const T1 *, (int)8>, int, int, int, T1 *)"
0.2,162784,17,9575.5,7776.0,4384,19520,5204.9,void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x64_32x6_nn_align4>(T1::Params)
0.2,162754,12,13562.8,6176.0,1984,96481,26225.5,"void tensorflow::functor::ColumnReduceSimpleKernel<float *, tensorflow::TransformOutputIterator<float, float, tensorflow::functor::DividesBy<float, float>, long>, tensorflow::functor::Sum<float>>(T1, T2, int, int, int, T3)"
0.2,151137,2,75568.5,75568.5,75233,75904,474.5,"void DSE::vector_fft<(int)1, (int)2, (int)128, (int)8, (int)8, (int)1, float, float, float2>(T9 *, T9 *, int, int3, int3)"
0.2,145377,30,4845.9,2464.0,1408,12448,3877.4,"void tensorflow::functor::RowReduceKernel<float *, float *, tensorflow::functor::Prod<float>>(T1, T2, int, int, T3, std::iterator_traits<T1>::value_type)"
0.2,142177,3,47392.3,44353.0,36736,61088,12457.3,void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x128_32x3_nn_align4>(T1::Params)
0.2,133537,18,7418.7,1216.0,1024,22016,8626.1,Rsqrt_GPU_DT_FLOAT_DT_FLOAT_kernel
0.2,129472,19,6814.3,1440.0,1152,20288,8235.4,Log_GPU_DT_FLOAT_DT_FLOAT_kernel
0.2,123168,1,123168.0,123168.0,123168,123168,0.0,Mul_GPU_DT_INT64_DT_INT64_kernel
0.2,117280,3,39093.3,32608.0,18176,66496,24804.2,"void tensorflow::concat_variable_kernel<float, int, (bool)1>(tensorflow::GpuDeviceArrayStruct<const T1 *, (int)8>, tensorflow::GpuDeviceArrayStruct<T2, (int)8>, T2, T2, T1 *)"
0.1,92608,12,7717.3,7456.0,5312,11360,1993.5,"void fft1d_c2r_32<float2, float, float, (bool)0, (bool)1, (bool)0, (bool)1>(T3 *, const T1 *, int, int3, int3, int2, int, T2, T2, T3 *, T3 *)"
0.1,85920,4,21480.0,21296.0,1728,41600,22754.8,"void DSE::vector_fft<(int)0, (int)1, (int)128, (int)8, (int)8, (int)1, float, float, float2>(T9 *, T9 *, int, int3, int3)"
0.1,84160,14,6011.4,4704.0,2432,13024,4138.8,"void tensorflow::functor::RowReduceKernel<float *, float *, tensorflow::functor::Sum<float>>(T1, T2, int, int, T3, std::iterator_traits<T1>::value_type)"
0.1,82496,8,10312.0,9664.0,1088,21824,9893.7,Neg_GPU_DT_FLOAT_DT_FLOAT_kernel
0.1,79904,2,39952.0,39952.0,32896,47008,9978.7,void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x128_16x6_nn_align4>(T1::Params)
0.1,61665,1,61665.0,61665.0,61665,61665,0.0,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<const Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<long, (int)3, (int)1, int>, (int)16, Eigen::MakePointer>, const Eigen::TensorBroadcastingOp<const Eigen::array<int, (unsigned long)3>, const Eigen::TensorMap<Eigen::Tensor<const long, (int)3, (int)1, int>, (int)16, Eigen::MakePointer>>>, Eigen::GpuDevice>, int>(T1, T2)"
0.1,57729,19,3038.4,2368.0,1472,7712,1786.3,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<const Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, (int)2, (int)1, long>, (int)16, Eigen::MakePointer>, const Eigen::TensorSelectOp<const Eigen::TensorBroadcastingOp<const Eigen::IndexList<Eigen::type2index<(long)1>, int>, const Eigen::TensorReshapingOp<const Eigen::IndexList<int, Eigen::type2index<(long)1>>, const Eigen::TensorMap<Eigen::Tensor<const bool, (int)1, (int)1, long>, (int)16, Eigen::MakePointer>>>, const Eigen::TensorMap<Eigen::Tensor<const float, (int)2, (int)1, long>, (int)16, Eigen::MakePointer>, const Eigen::TensorMap<Eigen::Tensor<const float, (int)2, (int)1, long>, (int)16, Eigen::MakePointer>>>, Eigen::GpuDevice>, long>(T1, T2)"
0.1,51329,2,25664.5,25664.5,25312,26017,498.5,"void tensorflow::functor::RowReduceKernel<cub::TransformInputIterator<float, tensorflow::<unnamed>::SubtractAndExpFunctor<float, float>, cub::CountingInputIterator<int, long>, long>, float *, cub::Sum>(T1, T2, int, int, T3, std::iterator_traits<T1>::value_type)"
0.1,45344,2,22672.0,22672.0,22464,22880,294.2,"void tensorflow::functor::RowReduceKernel<const float *, float *, cub::Max>(T1, T2, int, int, T3, std::iterator_traits<T1>::value_type)"
0.1,44288,4,11072.0,11088.0,3264,18848,8923.9,"void fft2d_r2c_64x64<float, (bool)1>(float2 *, const T1 *, int, int, int, int, int, int, int, int)"
0.1,39937,5,7987.4,1696.0,1248,33537,14284.3,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<const Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, (int)1, (int)1, long>, (int)16, Eigen::MakePointer>, const Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_sum_op<const float, const float>, const Eigen::TensorMap<Eigen::Tensor<const float, (int)1, (int)1, long>, (int)16, Eigen::MakePointer>, const Eigen::TensorMap<Eigen::Tensor<const float, (int)1, (int)1, long>, (int)16, Eigen::MakePointer>>>, Eigen::GpuDevice>, long>(T1, T2)"
0.1,39456,18,2192.0,1936.0,1632,4000,725.5,"void tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::UniformDistribution<tensorflow::random::PhiloxRandom, float>>(const unsigned long *, const unsigned long *, tensorflow::random::PhiloxRandom, T1::ResultElementType *, long, T1)"
0.1,38880,2,19440.0,19440.0,19392,19488,67.9,"void fft2d_c2r_64x64<float, (bool)0, (bool)1>(T1 *, float2 *, int, int, int, int, int, int, int, int, int, int, float, float, int, T1 *, T1 *)"
0.1,34944,2,17472.0,17472.0,17216,17728,362.0,ampere_sgemm_32x128_nn
0.0,32608,17,1918.1,1280.0,1056,11968,2601.7,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<const Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, (int)1, (int)1, int>, (int)16, Eigen::MakePointer>, const Eigen::TensorCwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, const Eigen::TensorMap<Eigen::Tensor<float, (int)1, (int)1, int>, (int)16, Eigen::MakePointer>>>, Eigen::GpuDevice>, int>(T1, T2)"
0.0,30912,25,1236.5,1184.0,896,1632,149.8,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<const Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, (int)1, (int)1, int>, (int)16, Eigen::MakePointer>, const Eigen::TensorCwiseNullaryOp<Eigen::internal::scalar_const_op<float>, const Eigen::TensorMap<Eigen::Tensor<float, (int)1, (int)1, int>, (int)16, Eigen::MakePointer>>>, Eigen::GpuDevice>, int>(T1, T2)"
0.0,28960,2,14480.0,14480.0,7840,21120,9390.4,void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_128x64_16x6_nn_align4>(T1::Params)
0.0,24992,20,1249.6,1248.0,1152,1376,65.2,Less_GPU_DT_FLOAT_DT_BOOL_kernel
0.0,24928,2,12464.0,12464.0,1952,22976,14866.2,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<const Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<long, (int)1, (int)1, int>, (int)16, Eigen::MakePointer>, const Eigen::TensorCwiseNullaryOp<Eigen::internal::scalar_const_op<long>, const Eigen::TensorMap<Eigen::Tensor<long, (int)1, (int)1, int>, (int)16, Eigen::MakePointer>>>, Eigen::GpuDevice>, int>(T1, T2)"
0.0,24448,11,2222.5,2240.0,1344,3968,832.4,"void splitKreduce_kernel<(int)32, (int)16, int, float, float, float, float, (bool)1, (bool)0, (bool)0>(cublasSplitKParams<T6>, const T4 *, const T5 *, T5 *, const T6 *, const T6 *, const T7 *, const T4 *, T7 *, void *, long, T6 *, int *)"
0.0,23520,2,11760.0,11760.0,8288,15232,4910.1,"void tensorflow::functor::RowReduceKernel<float *, float *, tensorflow::functor::MaxPropagateNaN>(T1, T2, int, int, T3, std::iterator_traits<T1>::value_type)"
0.0,23296,1,23296.0,23296.0,23296,23296,0.0,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<const Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<long, (int)1, (int)1, int>, (int)16, Eigen::MakePointer>, const Eigen::TensorCwiseNullaryOp<Eigen::internal::scalar_constant_op<long>, const Eigen::TensorMap<Eigen::Tensor<long, (int)1, (int)1, int>, (int)16, Eigen::MakePointer>>>, Eigen::GpuDevice>, int>(T1, T2)"
0.0,17856,2,8928.0,8928.0,8128,9728,1131.4,"void tensorflow::<unnamed>::GenerateNormalizedProb<float, float, (int)4>(const T1 *, const T2 *, const T1 *, T1 *, int, int, bool)"
0.0,16032,1,16032.0,16032.0,16032,16032,0.0,void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x64_32x6_nn_align1>(T1::Params)
0.0,14944,9,1660.4,1664.0,1408,1824,110.2,Tanh_GPU_DT_FLOAT_DT_FLOAT_kernel
0.0,14624,11,1329.5,1248.0,1120,1856,243.9,Cast_GPU_DT_BOOL_DT_FLOAT_kernel
0.0,14112,2,7056.0,7056.0,6944,7168,158.4,"void tensorflow::functor::SwapDimension1And2InTensor3UsingTiles<unsigned int, (int)64, (int)64, (int)12, (bool)0>(const T1 *, tensorflow::functor::Dimension<(int)3>, T1 *)"
0.0,13440,4,3360.0,3296.0,3200,3648,199.0,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<const Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, (int)1, (int)1, long>, (int)16, Eigen::MakePointer>, const Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_sum_op<float, float>, const Eigen::TensorMap<Eigen::Tensor<float, (int)1, (int)1, long>, (int)16, Eigen::MakePointer>, const Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_sum_op<float, float>, const Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_sum_op<float, float>, const Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_sum_op<float, float>, const Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_sum_op<float, float>, const Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_sum_op<float, float>, const Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_sum_op<float, float>, const Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_sum_op<const float, const float>, const Eigen::TensorMap<Eigen::Tensor<const float, (int)1, (int)1, long>, (int)16, Eigen::MakePointer>, const Eigen::TensorMap<Eigen::Tensor<const float, (int)1, (int)1, long>, (int)16, Eigen::MakePointer>>, const Eigen::TensorMap<Eigen::Tensor<const float, (int)1, (int)1, long>, (int)16, Eigen::MakePointer>>, const Eigen::TensorMap<Eigen::Tensor<const float, (int)1, (int)1, long>, (int)16, Eigen::MakePointer>>, const Eigen::TensorMap<Eigen::Tensor<const float, (int)1, (int)1, long>, (int)16, Eigen::MakePointer>>, const Eigen::TensorMap<Eigen::Tensor<const float, (int)1, (int)1, long>, (int)16, Eigen::MakePointer>>, const Eigen::TensorMap<Eigen::Tensor<const float, (int)1, (int)1, long>, (int)16, Eigen::MakePointer>>, const Eigen::TensorMap<Eigen::Tensor<const float, (int)1, (int)1, long>, (int)16, Eigen::MakePointer>>>>, Eigen::GpuDevice>, long>(T1, T2)"
0.0,13344,2,6672.0,6672.0,6560,6784,158.4,"void tensorflow::functor::SwapDimension1And2InTensor3UsingTiles<unsigned int, (int)64, (int)12, (int)64, (bool)0>(const T1 *, tensorflow::functor::Dimension<(int)3>, T1 *)"
0.0,12832,1,12832.0,12832.0,12832,12832,0.0,"void tensorflow::functor::ColumnReduceSimpleKernel<float *, float *, tensorflow::functor::Sum<float>>(T1, T2, int, int, int, T3)"
0.0,10112,3,3370.7,2656.0,2592,4864,1293.7,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<const Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, (int)1, (int)1, long>, (int)16, Eigen::MakePointer>, const Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_sum_op<float, float>, const Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_sum_op<float, float>, const Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_sum_op<float, float>, const Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_sum_op<float, float>, const Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_sum_op<const float, const float>, const Eigen::TensorMap<Eigen::Tensor<const float, (int)1, (int)1, long>, (int)16, Eigen::MakePointer>, const Eigen::TensorMap<Eigen::Tensor<const float, (int)1, (int)1, long>, (int)16, Eigen::MakePointer>>, const Eigen::TensorMap<Eigen::Tensor<const float, (int)1, (int)1, long>, (int)16, Eigen::MakePointer>>, const Eigen::TensorMap<Eigen::Tensor<const float, (int)1, (int)1, long>, (int)16, Eigen::MakePointer>>, const Eigen::TensorMap<Eigen::Tensor<const float, (int)1, (int)1, long>, (int)16, Eigen::MakePointer>>, const Eigen::TensorMap<Eigen::Tensor<const float, (int)1, (int)1, long>, (int)16, Eigen::MakePointer>>>, Eigen::GpuDevice>, long>(T1, T2)"
0.0,7680,4,1920.0,1920.0,1856,1984,52.3,"void fft1d_r2c_32<float, float, float2, (bool)1, (bool)0>(T3 *, const T1 *, int, int3, int3, int2, int2)"
0.0,7040,2,3520.0,3520.0,3392,3648,181.0,"void fft1d_r2c_256<float, float, float2, (bool)1, (bool)0>(T3 *, const T1 *, int3, int3, int2, int2)"
0.0,5952,6,992.0,960.0,928,1184,94.9,"void cudnn::cnn::kern_precompute_indices<(bool)0>(int *, int, int, int, int, int)"
0.0,5856,3,1952.0,1728.0,1376,2752,714.8,"void tensorflow::functor::RowReduceKernel<float *, tensorflow::TransformOutputIterator<float, float, tensorflow::functor::DividesBy<float, float>, long>, tensorflow::functor::Sum<float>>(T1, T2, int, int, T3, std::iterator_traits<T1>::value_type)"
0.0,5632,5,1126.4,1120.0,1088,1152,26.8,Exp_GPU_DT_FLOAT_DT_FLOAT_kernel
0.0,5152,4,1288.0,1232.0,1088,1600,219.2,"void tensorflow::functor::ShuffleInTensor3Simple<float, (int)2, (int)1, (int)0, (bool)0>(int, const T1 *, tensorflow::functor::Dimension<(int)3>, T1 *)"
