op_type,device,count,time_us,time_ms,avg_us_per_call
Slice,/job:localhost/replica:0/task:0/device:MUSA:0,890,192229.0,192.229,215.9876404494382
Pack,/job:localhost/replica:0/task:0/device:MUSA:0,74,43520.0,43.52,588.1081081081081
MatMul,/job:localhost/replica:0/task:0/device:MUSA:0,264,9141.0,9.141,34.625
ConcatV2,/job:localhost/replica:0/task:0/device:MUSA:0,129,7663.0,7.663,59.4031007751938
ExpandDims,/job:localhost/replica:0/task:0/device:MUSA:0,47,7395.0,7.395,157.3404255319149
Cast,/job:localhost/replica:0/task:0/device:MUSA:0,24,3456.0,3.456,144.0
Sub,/job:localhost/replica:0/task:0/device:MUSA:0,44,3382.0,3.382,76.86363636363636
Const,/job:localhost/replica:0/task:0/device:MUSA:0,360,3216.0,3.216,8.933333333333334
RealDiv,/job:localhost/replica:0/task:0/device:MUSA:0,46,2814.0,2.814,61.17391304347826
Pow,/job:localhost/replica:0/task:0/device:MUSA:0,60,1851.0,1.851,30.85
Prod,/job:localhost/replica:0/task:0/device:MUSA:0,57,1594.0,1.594,27.964912280701753
AddV2,/job:localhost/replica:0/task:0/device:MUSA:0,39,1573.0,1.573,40.333333333333336
Add,/job:localhost/replica:0/task:0/device:MUSA:0,46,1441.0,1.441,31.32608695652174
GatherV2,/job:localhost/replica:0/task:0/device:MUSA:0,40,1205.0,1.205,30.125
AddN,/job:localhost/replica:0/task:0/device:MUSA:0,1,918.0,0.918,918.0
Rsqrt,/job:localhost/replica:0/task:0/device:MUSA:0,29,898.0,0.898,30.96551724137931
Split,/job:localhost/replica:0/task:0/device:MUSA:0,16,794.0,0.794,49.625
Relu,/job:localhost/replica:0/task:0/device:MUSA:0,45,680.0,0.68,15.11111111111111
StridedSlice,/job:localhost/replica:0/task:0/device:MUSA:0,37,585.0,0.585,15.81081081081081
LeakyRelu,/job:localhost/replica:0/task:0/device:MUSA:0,32,569.0,0.569,17.78125
BatchMatMulV2,/job:localhost/replica:0/task:0/device:MUSA:0,27,514.0,0.514,19.037037037037038
Neg,/job:localhost/replica:0/task:0/device:MUSA:0,17,358.0,0.358,21.058823529411764
Tanh,/job:localhost/replica:0/task:0/device:MUSA:0,13,351.0,0.351,27.0
Log,/job:localhost/replica:0/task:0/device:MUSA:0,28,330.0,0.33,11.785714285714286
Mul,/job:localhost/replica:0/task:0/device:MUSA:0,22,259.0,0.259,11.772727272727273
Transpose,/job:localhost/replica:0/task:0/device:MUSA:0,12,191.0,0.191,15.916666666666666
Softmax,/job:localhost/replica:0/task:0/device:MUSA:0,15,187.0,0.187,12.466666666666667
Placeholder,/job:localhost/replica:0/task:0/device:CPU:0,377,153.0,0.153,0.40583554376657827
Mean,/job:localhost/replica:0/task:0/device:MUSA:0,10,142.0,0.142,14.2
Reshape,/job:localhost/replica:0/task:0/device:MUSA:0,96,97.0,0.097,1.0104166666666667
SquaredDifference,/job:localhost/replica:0/task:0/device:MUSA:0,4,91.0,0.091,22.75
Shape,/job:localhost/replica:0/task:0/device:MUSA:0,20,52.0,0.052,2.6
Sum,/job:localhost/replica:0/task:0/device:MUSA:0,4,40.0,0.04,10.0
Sigmoid,/job:localhost/replica:0/task:0/device:MUSA:0,4,36.0,0.036,9.0
RealDiv,/job:localhost/replica:0/task:0/device:CPU:0,2,2.0,0.002,1.0
StridedSlice,/job:localhost/replica:0/task:0/device:CPU:0,1,1.0,0.001,1.0
Tanh,/job:localhost/replica:0/task:0/device:CPU:0,1,1.0,0.001,1.0
Sub,/job:localhost/replica:0/task:0/device:CPU:0,1,1.0,0.001,1.0
Unknown,/job:localhost/replica:0/task:0/device:MUSA:0,1,0.0,0.0,0.0
Unknown,/job:localhost/replica:0/task:0/device:CPU:0,1,0.0,0.0,0.0
